;Take top;Put top in fixture;Take button;Mount button on top;Take top-button-ring;Take ring;Mount ring on top-button;Put top-button-ring on table;Change tool
Start;3;7.0710678119;7.2801098893;7.0710678119;7.0710678119;7;0;7.6157731059;3.1622776602
Take top;0;8.0622577483;7.0710678119;8.0622577483;8.0622577483;10;3;9.2195444573;5
Put top in fixture;8.0622577483;0;3;0;0;9.2195444573;7.0710678119;2;10
Take button;7.0710678119;3;0;3;3;11.401754251;7.2801098893;5;10.4403065089
Mount button on top;8.0622577483;0;3;0;0;9.2195444573;7.0710678119;2;10
Take top-button-ring;8.0622577483;0;3;0;0;9.2195444573;7.0710678119;2;10
Take ring;10;9.2195444573;11.401754251;9.2195444573;9.2195444573;0;7;8.0622577483;6.7082039325
Mount ring on top-button;3;7.0710678119;7.2801098893;7.0710678119;7.0710678119;7;0;7.6157731059;3.1622776602
Put top-button-ring on table;9.2195444573;2;5;2;2;8.0622577483;7.6157731059;0;10.1980390272
Change tool;5;10;10.4403065089;10;10;6.7082039325;3.1622776602;10.1980390272;0
