;Take DCOVER;Put DCOVER in fixture;Tap DCOVER;Take PWB;Take ANTENNA;Photo PWB;Mount ANTENNA on DCOVER;Blow air on PWB;Tap SHIELD;Take LCD;Photo LCD;Mount PWB on DCOVER-ANTENNA;Peel1 SHIELD;Mount LCD on SHIELD;Tap LCD-SHIELD;Take PWB-DCOVER-ANTENNA from fixture;Put PWB-DCOVER-ANTENNA in output;Take SHIELD;Photo SHIELD;Put SHIELD in fixture;Peel2 SHIELD;Tap DCOVER-ANTENNA;Tap PWB-DCOVER-ANTENNA;Take LCD-SHIELD from fixture;Put LCD-SHIELD in output;Change tool
Start;1.54;1.47;1.47;1;2.01;1;1.47;1;2.43;3.58;1;1.47;2.43;2.43;2.43;1.47;0;1;1;2.43;2.43;1.47;1.47;2.43;0;0
Take DCOVER;0;3.47;3.47;1;2.56;1;3.47;1;3.47;2.41;1;3.47;3.47;3.47;3.47;3.47;3.65;1;1;3.47;3.47;3.47;3.47;3.47;3.65;0
Put DCOVER in fixture;2.66;0;0;1.09;2.16;1;0;1.62;1.43;3.21;1;0;1.43;1.43;1.43;0;1.48;1.21;2.46;1.43;1.43;0;0;1.43;1.48;0
Tap DCOVER;2.66;0;0;1.09;2.16;1;0;1.62;1.43;3.21;1;0;1.43;1.43;1.43;0;1.48;1.21;2.46;1.43;1.43;0;0;1.43;1.48;0
Take PWB;1;1.91;1.91;0;1.4;0.91;1.91;1.61;1.09;1.33;0.91;1.91;1.09;1.09;1.09;1.91;1;0.67;1.54;1.09;1.09;1.91;1.91;1.09;1;0
Take ANTENNA;3;2.16;2.16;1.07;0;1.38;2.16;1.6;2.2;1.96;1.38;2.16;2.2;2.2;2.2;2.16;4.13;1.43;2.19;2.2;2.2;2.16;2.16;2.2;4.13;0
Photo PWB;1;1.18;1.18;0.55;1.05;0;1.18;1.58;0.71;0.66;0;1.18;0.71;0.71;0.71;1.18;1;0.81;1.38;0.71;0.71;1.18;1.18;0.71;1;0
Mount ANTENNA on DCOVER;2.66;0;0;1.09;1.34;1;0;1.62;1.43;3.21;1;0;1.43;1.43;1.43;0;1.48;1.21;2.46;1.43;1.43;0;0;1.43;1.48;0
Blow air on PWB;1;2.43;2.43;1.34;1.57;1.58;2.43;0;1.47;1.24;1.58;2.43;1.47;1.47;1.47;2.43;1;1.29;2.09;1.47;1.47;2.43;2.43;1.47;1;0
Tap SHIELD;2.66;1.51;1.51;0.8;1.36;1;1.51;1.48;0;3.28;1;1.51;0;0;0;1.51;1.62;0.93;1.86;0;0;1.51;1.51;0;1.62;0
Take LCD;2.25;3.21;3.21;1.03;1.75;0.98;3.21;1.22;3.16;0;0.98;3.21;3.16;3.16;3.16;3.21;4.83;1.22;1.74;3.16;3.16;3.21;3.21;3.16;4.83;0
